ledger,id,reason,covered_by
conventions,iff-for-necessary-and-sufficient,語彙だけの違い（同じもの・同じ操作を別の語で呼ぶだけ）。関係する terms の pitfalls ／ mapping_note にある,necessary-and-sufficient-condition
conventions,proportion-cross-multiplication,語彙だけの違い（同じもの・同じ操作を別の語で呼ぶだけ）。関係する terms の pitfalls ／ mapping_note にある,cross-multiply
conventions,distance-rate-time,語彙だけの違い（同じもの・同じ操作を別の語で呼ぶだけ）。関係する terms の pitfalls ／ mapping_note にある,speed|motion-problem
conventions,variation-language,語彙だけの違い（同じもの・同じ操作を別の語で呼ぶだけ）。関係する terms の pitfalls ／ mapping_note にある,direct-proportion|inverse-proportion|joint-variation
conventions,derivative-at-a-point-naming,語彙だけの違い（同じもの・同じ操作を別の語で呼ぶだけ）。関係する terms の pitfalls ／ mapping_note にある,find-the-derivative-at|instantaneous-rate-of-change
conventions,convexity-direction,語彙だけの違い（同じもの・同じ操作を別の語で呼ぶだけ）。関係する terms の pitfalls ／ mapping_note にある,concavity|opens-upward|opens-downward|parabola
conventions,ratio-rate-percent,語彙だけの違い（同じもの・同じ操作を別の語で呼ぶだけ）。関係する terms の pitfalls ／ mapping_note にある,rate|percent
conventions,transposing-vs-both-sides,語彙だけの違い（同じもの・同じ操作を別の語で呼ぶだけ）。関係する terms の pitfalls ／ mapping_note にある,move-term-to-other-side|both-sides
phrases,enclosed-region,terms に近い名詞句・断片（文として言う・書く意図がない）,phrases/the-area-of-the-region-bounded-by
phrases,increasing-on-all-reals,同じ意図の terms がある,is-monotonically-increasing
phrases,converges-to-zero,同じ意図の terms がある,converge
phrases,the-function-is-continuous,同じ意図の terms がある,continuous
phrases,take-the-log-and-differentiate,同じ意図の terms がある,take-the-log-of-both-sides|logarithmic-differentiation
phrases,has-no-local-extrema,同じ意図の terms がある,has-a-local-extremum
phrases,the-limit-exists,同じ意図の terms がある,the-limit-does-not-exist
phrases,one-of-the-solutions-is,terms に近い名詞句・断片（文として言う・書く意図がない）,
phrases,the-other-solutions,terms に近い名詞句・断片（文として言う・書く意図がない）,
phrases,as-p-moves,日本の問題文の型の英訳で、米国の教材で確かめられない（as P moves ／ as P varies ／ moves along the circle は OpenStax・CED・IM・CK-12 で 0 件）,
phrases,relation-between-x-and-y,terms に近い名詞句・断片（文として言う・書く意図がない）,
phrases,the-value-of-sine-theta,terms に近い名詞句・断片（文として言う・書く意図がない）,find
phrases,the-domain-is-the-positive-reals,terms に近い名詞句・断片（文として言う・書く意図がない）,domain
phrases,using-real-numbers-s-and-t,日本の問題文の型の英訳で、米国の教材で確かめられない（real numbers s and t ／ scalars s and t は OpenStax・CED・IM・CK-12 で 0 件）,
phrases,checking-conditions,terms に近い名詞句・断片（文として言う・書く意図がない）,
phrases,assuming-leads-to-a-contradiction,同じ意図の terms がある,lead-to-a-contradiction
phrases,for-the-angle-theta,terms に近い名詞句・断片（文として言う・書く意図がない）,opposite-side
phrases,point-outside-the-circle,terms に近い名詞句・断片（文として言う・書く意図がない）,
phrases,there-are-infinitely-many,同じ意図の terms がある,infinitely-many-solutions
phrases,class-listening-plug-it-back-in,同じ意図の terms がある,check
phrases,explaining-solution-u-substitution,同じ意図の terms がある,let-u-equal|substitute-new-variable
phrases,explaining-solution-split-into-cases,同じ意図の terms がある,split-into-cases
phrases,explaining-solution-graph-agrees,製品名の行（WebAssign ／ Desmos）,
phrases,explaining-solution-simplified-to,同じ意図の terms がある,simplify
phrases,explaining-solution-added-to-eliminate,同じ意図の terms がある,eliminate
phrases,explaining-solution-substituted-into-the-other,同じ意図の terms がある,substitute
phrases,written-solution-without-loss-of-generality,同じ意図の terms がある,without-loss-of-generality
phrases,written-solution-if-and-only-if,同じ意図の terms がある,necessary-and-sufficient-condition
phrases,written-solution-substituting,同じ意図の terms がある,substitute
phrases,written-solution-solving-for,同じ意図の terms がある,solve-for
phrases,written-solution-differentiating-both-sides,同じ意図の terms がある,differentiate-both-sides
phrases,written-solution-equality-holds,同じ意図の terms がある,equality-holds
phrases,written-solution-base-case,同じ意図の terms がある,base-case
phrases,exam-find,同じ意図の terms がある,find
phrases,exam-evaluate,同じ意図の terms がある,evaluate
phrases,exam-prove,同じ意図の terms がある,prove
phrases,exam-sketch-the-graph,同じ意図の terms がある,sketch-the-graph
phrases,exam-simplify,同じ意図の terms がある,simplify
phrases,exam-solve-for-x,同じ意図の terms がある,solve-for
phrases,exam-factor-completely,同じ意図の terms がある,factoring
phrases,exam-round-to-the-nearest-tenth,同じ意図の terms がある,round
phrases,group-study-check-on-desmos,製品名の行（WebAssign ／ Desmos）,
phrases,discord-online-homework-not-accepting,製品名の行（WebAssign ／ Desmos）,
