id,batch,side,reason
vector-notation,1,jp,"日本側（成分を (a₁, a₂) と丸かっこで書く）を確かめられない。高等学校学習指導要領解説は「成分表示」の語だけ、日本語版 Wikipedia「ベクトル」は上の矢印と太字の両方を挙げる。2026-09-26: 矢印は共通テスト（令和3〜8年度）・センター試験（平成26〜31年度）の本試験 数学で確かめた（共通テスト 令和7年度 数学Ⅱ，数学Ｂ，数学Ｃ 第6問、センター試験 平成30年度 数学Ⅱ・数学Ｂ 第4問）が、成分を丸かっこで書く例は問題文に出てこない（点の座標 C(x, y, z) だけ）"
standard-unit-vector-letters,1,jp,日本側（基本ベクトルを e₁ e₂ e₃ と書く）を確かめられない。日本語版 Wikipedia「標準基底」は e₁ … と i j k の両方を挙げ、解説に基本ベクトルの文字はない。2026-09-26: 共通テスト（令和3〜8年度）・センター試験（平成26〜31年度）の本試験 数学にも基本ベクトル・e₁ が出てこない
increase-decrease-table-vs-sign-chart,1,jp,日本側の「増減表」が学習指導要領解説にも日本語版 Wikipedia（全文検索を含む）にも出てこない。2026-09-26: 共通テスト（令和3〜8年度）・センター試験（平成26〜31年度）の本試験 数学にも「増減表」が出てこない（マーク式で表を書かせない）
definite-integral-definition,1,jp,日本側（数学II が定積分を F(b) − F(a) で定義する）を確かめられない。解説の数式はテキストに取り出せず、日本語版 Wikipedia に高校の定義の記述がない。2026-09-26: 共通テスト（令和3〜8年度）・センター試験（平成26〜31年度）の本試験 数学は定積分を計算させるだけで、定義を述べない
evaluation-bar-notation,1,jp,日本側（[F(x)]ₐᵇ と書く）を確かめられない。2026-09-26: 共通テスト（令和3〜8年度）・センター試験（平成26〜31年度）の本試験 数学のテキスト（OCR を含む）に [F(x)] の形が見つからない。記号は抽出で落ちるので見落としの可能性があるが、正解の表は数だけ
substitution-limits-table,1,jp,日本側（置換積分で x と t の対応表を添える）を確かめられない。2026-09-26: 置換積分は数学Ⅲ で、共通テスト・センター試験の範囲にない。答案の書き方はマーク式の問題からは分からない
integrable-meaning,1,jp,日本側（高校の「積分できる」が原始関数を式で書けることを指す）を確かめられない。2026-09-26: 共通テスト（令和3〜8年度）・センター試験（平成26〜31年度）の本試験 数学にも「積分できる」の用例がない
regular-polygon-area-apothem,1,jp,日本側（数学I で外接円の半径から正多角形の面積を求める）を確かめられない。解説は小学校の内容として正多角形を挙げるだけ。2026-09-26: 共通テスト（令和3〜8年度）・センター試験（平成26〜31年度）の本試験 数学にも外接円の半径で正多角形の面積を求める問題が見つからない
base-n-parenthesized-subscript,1,us,米国側（142₅ と括弧なしの添字で書く、in base n と言う）が手元の参照（OpenStax・CED・IM・CK-12・Levin・Nicholson）にない。2026-09-26: 米国側の理由なので、日本側の資料（共通テスト・センター試験）を足しても変わらない
jp-only-analytic-geometry,2,us,米国側の主張（点と直線の距離の公式などが米国の高校の教科書に出てこない）が参照と合わない。CK-12 Geometry と IM に distance from a point to a line が出てくる。アポロニウスの円・2 円の交点を通る円は日本側も解説で確かめられない。2026-09-26: 米国側の理由なので、日本側の資料（共通テスト・センター試験）を足しても変わらない
